horizon,LSTM_MAE,LSTM_MSE,LSTM_WAPE_percent,LSTM_R2,CBR_MAE,CBR_MSE,CBR_WAPE_percent,CBR_R2,best_model
h01,29.15247958193163,1662.2152627082116,6.237586896983813,0.9469774525514201,23.981190467160754,1081.6516900747033,5.108621499960793,0.9659567052975353,lstm
h02,28.751251223465683,1610.201195305897,6.148249030527941,0.9489550434027261,21.51122105566305,913.4140039652881,4.578717271295178,0.971491316849693,lstm
h03,22.53878298117856,1095.0173342200296,4.815168075365563,0.9656137534127449,23.209464448770504,1155.9730948631895,4.937415270078866,0.9641344167929011,lstm
h04,21.789609849231855,1001.9104457776091,4.6516453409648095,0.9687812843962266,27.94702100262863,1465.1809850254053,5.941890304562759,0.9548137143472469,lstm
h05,23.153070275188757,1088.8794364507949,4.934993378768233,0.9665069107087206,25.132742367863262,1235.2751501216997,5.338817716209535,0.9622235648861758,lstm
h06,22.78621054376704,922.6181594191628,4.842129142428967,0.9720768006264742,27.478840021468592,1464.7948654474476,5.833218340381878,0.9555090405746356,lstm
h07,22.863160046965447,1222.3412735562079,4.844905223581899,0.9634766661865736,28.033386325461525,1499.861256485198,5.943152579327604,0.9548926269605535,lstm
h08,27.39226894741571,1429.6537834329824,5.7874375207129045,0.9578755234259604,28.184973444916576,1528.4350724875396,5.958240805653293,0.9546767028743501,lstm
h09,22.109435225627884,1057.1486418434918,4.657010108978739,0.9692900212957575,28.28555895280111,1502.4297831871572,5.961821061154065,0.9560803578788882,lstm
h10,23.406410856847078,1134.422590709645,4.915289380907752,0.9675406158233741,25.822485075957854,1301.432489921984,5.425848771272659,0.9625252245617404,lstm
h11,22.055876610882446,924.493502727564,4.617909212875615,0.9739446805596109,27.471763690602106,1428.2234331863326,5.754217232242766,0.9594845235090443,lstm
h12,25.89438300397245,1246.312267515227,5.406129592561723,0.9653704684605195,26.84747524420119,1327.7355817707173,5.606840048276001,0.9628639514150618,lstm
h13,24.026825815124923,1189.268869044906,5.0029772668087,0.9673362764556269,29.46707443151731,1557.4558645367406,6.137637465220661,0.9569406202560375,lstm
h14,29.77946298020265,1858.0985847135628,6.184610940443943,0.9495597235901124,26.377088061376124,1322.6043304464713,5.47965837699113,0.9638585833104716,lstm
