Model Name,MAE,RMSE,WAPE (%),R2 Score
Boosting_custom_with_window,0.46204183404075577,2.7029839238475644,5.2263127689837745,0.9956780218898728
RandomForest_custom_with_window,0.49438531889452675,3.0165891086180583,5.592160957244983,0.9946169556872066
RandomForest_mae_with_window,0.4991423002029173,3.0167711886634265,5.645968795241889,0.9946163058310293
Boosting,0.5440214633830893,3.905857640576218,6.153612316475835,0.9909753896867624
RandomForest,0.5637890193148074,3.896932233909447,6.377209883549007,0.9910165874428633
Linear,0.6202871109392898,4.008118500503088,7.016279067172326,0.9904966495774752
LSTM_custom_with_window,0.6446395679643958,3.616897838708094,7.291738014240773,0.9922612980297745
MLP,0.6510946188762688,4.076532516208072,7.36475329666688,0.9901694580883301
LSTM_custom,0.6766844828417345,4.0339613187211745,7.654208975668177,0.9903737065539518
LSTM_mae_with_window,0.7630582419812848,2.9841302211936207,8.631212023959995,0.9947321769368973
Polynomial (d=2),0.8866997606011415,5.460170285166912,10.029763410288583,0.9823636783098675
LSTM_mae,1.0622501668201345,4.476011230712164,12.015473928314277,0.9881483730573916
