TEC_N_Aver_pred;B1_N_Aver_pred;B1_Reconciled;B1_Delta;B2_N_Aver_pred;B2_Reconciled;B2_Delta;B3_N_Aver_pred;B3_Reconciled;B3_Delta;B4_N_Aver_pred;B4_Reconciled;B4_Delta;Sum_Check;Total_Error_Before;Total_Error_After
340.19495;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;341.3258;340.1949462890625;-1.130859375;340.1949462890625;1.130859375;0.0
342.19864;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;342.79874;342.1986389160156;-0.60009765625;342.1986389160156;0.60009765625;0.0
344.5135;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;344.65863;344.51348876953125;-0.1451416015625;344.51348876953125;0.1451416015625;0.0
345.12057;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;345.12177;345.1205749511719;-0.001190185546875;345.1205749511719;0.001190185546875;0.0
348.11542;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;347.36032;348.11541748046875;0.755096435546875;348.11541748046875;-0.755096435546875;0.0
349.56628;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;348.44824;349.5662841796875;1.1180419921875;349.5662841796875;-1.1180419921875;0.0
348.7647;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;347.8653;348.76470947265625;0.8994140625;348.76470947265625;-0.8994140625;0.0
347.49548;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;346.79904;347.4954833984375;0.696441650390625;347.4954833984375;-0.696441650390625;0.0
346.52835;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;346.174;346.5283508300781;0.354339599609375;346.5283508300781;-0.354339599609375;0.0
347.27893;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;346.70944;347.2789306640625;0.569488525390625;347.2789306640625;-0.569488525390625;0.0
343.56772;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;343.9334;343.5677185058594;-0.365692138671875;343.5677185058594;0.365692138671875;0.0
341.44223;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;342.2387;341.4422302246094;-0.796478271484375;341.4422302246094;0.796478271484375;0.0
337.86682;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;339.55457;337.8668212890625;-1.687744140625;337.8668212890625;1.687744140625;0.0
