horizon,LSTM_MAE,LSTM_MSE,LSTM_WAPE_percent,LSTM_R2,CBR_MAE,CBR_MSE,CBR_WAPE_percent,CBR_R2,best_model
h01,3.3610650573320835,61.3043316120519,4.400153087967754,0.9943224087188147,5.038707866850657,99.85096294996383,6.52961481831697,0.9907696038584544,lstm
h02,3.6846537688594534,84.16754537438631,4.817906127367395,0.9922243378362214,5.830209203743199,125.10050800772753,7.538093745795896,0.9884846469687558,lstm
h03,3.698096813227506,75.0149954491006,4.824766382720832,0.9930993724253158,6.332184306265253,153.69737442057476,8.175660952691457,0.9858929752332655,lstm
h04,3.6812355625229385,66.5160667618446,4.795361331849575,0.9939000133713723,5.959443094472575,139.39375038354385,7.684774979429151,0.9872385571647075,lstm
h05,3.0656948299535967,57.07221730659939,3.9819901922120065,0.9947908161430514,6.292996879082995,153.38320807092097,8.101314168316371,0.9860009197957682,lstm
h06,7.093380872483222,386.8565943949382,9.21134796462275,0.9647071055970777,4.965207880715915,101.44951955479762,6.385203769126248,0.9907596635110744,lstm
h07,5.68989803237403,337.2158950313982,7.386806017380016,0.9692527520777595,7.290965658373213,196.11060728921848,9.350224907939902,0.9822175014438054,lstm
h08,2.9370992161283556,47.62332460037408,3.8109583629866313,0.9956624167132347,5.8949244556979545,129.64130715849262,7.558383595167129,0.9882494343426612,lstm
h09,2.7113254972112255,48.193641009739636,3.5151875513652895,0.9956173125709965,4.0774285559146195,67.58721533708595,5.226623739625129,0.9938772738758189,lstm
h10,3.4299731383867726,61.917283838703476,4.445771507020904,0.9943722434560762,5.615885040006785,125.8268588699041,7.1942002490865,0.9886155357942504,lstm
h11,5.942774555795146,135.25470050425344,7.703367584669244,0.9877044259329363,3.7880898215808143,73.85320891190817,4.848787038268389,0.9933284703886279,lstm
h12,3.1455825969516837,56.41198010642488,4.078371067735261,0.9948694100807733,4.403585501859943,86.73833411851187,5.635544687536253,0.992167573025968,lstm
h13,3.751674925528916,71.32958966620276,4.86470042606462,0.9935112651258423,4.809759799862322,96.12156715245585,6.156027640616353,0.9913182846851596,lstm
h14,3.0678287951578227,55.89092529336057,3.9790646412855013,0.9949127489115789,3.196841503546442,64.23660570844457,4.092670449714362,0.9941950810479472,lstm
