Model Name,MAE,RMSE,WAPE (%),R2 Score
LSTM_custom_with_window,11.232983209537968,18.71172228249057,4.0267188698755225,0.9771624135032684
RandomForest_custom_with_window,11.265680309876357,17.191589305879475,4.0384398907714685,0.9807223214464942
Boosting_custom_with_window,11.425456947908412,19.406091006568776,4.09571546853452,0.9754360159632441
RandomForest_mae_with_window,11.525544608423358,17.276373124024325,4.1315941717889695,0.9805317089977763
LSTM_custom,11.748257484590216,21.192484753466978,4.211430678645301,0.9707054765278701
LSTM_mae_with_window,11.98509169244577,19.105914563733535,4.296329298719283,0.9761900577634653
LSTM_mae,12.322127300632266,21.358211250660045,4.417147394677281,0.970245515221804
MLP,12.851282769447899,22.331412444651814,4.606835233751811,0.9674721720245466
Boosting,12.892837332539003,22.087637907140707,4.621731414063582,0.9681784575234404
RandomForest,13.700523082226265,22.03765953323945,4.911264780981972,0.9683223017537586
Linear,14.645866091936774,36.45006809059055,5.250144530439266,0.9133398638654445
Polynomial (d=2),19.53415950764036,42.714561990829985,7.002464726359111,0.8809924282957673
