Model Name,MAE,RMSE,WAPE (%),R2 Score
LSTM_custom_with_window,6.470965381792397,11.726999631275989,5.707332475825129,0.9879293166482275
LSTM_mae_with_window,6.5780884520306655,12.020395794002868,5.801814047214964,0.9873177716088756
Boosting_custom_with_window,6.975406147346366,12.715627571401006,6.152244632437346,0.985808325781394
Boosting,7.069992136200917,12.50964629965837,6.235668612337867,0.9862643854418325
RandomForest_mae_with_window,7.948573518552175,13.915760641004221,7.010569382207191,0.9830030133086617
RandomForest_custom_with_window,7.948573518552175,13.915760641004221,7.010569382207191,0.9830030133086617
RandomForest,8.593066131283589,14.238399249061187,7.579005991282746,0.9822057221606454
LSTM_mae,9.563661846128925,20.237703198753216,8.435062563586508,0.9640515243805333
Linear,13.391971746442994,32.93779353112545,11.811596995846637,0.9047758641784571
MLP,13.676317322360484,40.45016294500029,12.062387201641492,0.8563854025840546
LSTM_custom,14.230290256184379,40.536704412739205,12.550986279120327,0.8557702301148711
Polynomial (d=2),18.087733793087285,46.14962484440105,15.953216313262397,0.8130633807539043
