plant_id,model_name,method,forecast_stage,unit_id,MAE,RMSE,MAPE,OCV_min,OCV_max,OCV_total,OCV_min_severity,OCV_max_severity
TEC22,LSTM_custom,independent,raw,B1,4.047197685484671,9.923089316227633,1.9988742973864382,0,0,0,0.0,0.0
TEC22,LSTM_custom,independent,raw,B2,0.6829282918553443,4.184963885386324,0.3754832252469879,0,0,0,0.0,0.0
TEC22,LSTM_custom,independent,raw,B3,6.298474552616193,11.916486973645847,3.142350594974815,0,0,0,0.0,0.0
TEC22,LSTM_custom,independent,raw,B4,12.087521998624727,21.700481831502366,4.19608844732434,0,0,0,0.0,0.0
TEC22,LSTM_custom,bottom_up,hierarchical_reconciled,B1,4.047197685484671,9.923089316227633,1.9988742973864382,0,0,0,0.0,0.0
TEC22,LSTM_custom,bottom_up,hierarchical_reconciled,B2,0.6829282918553443,4.184963885386324,0.3754832252469879,0,0,0,0.0,0.0
TEC22,LSTM_custom,bottom_up,hierarchical_reconciled,B3,6.298474552616193,11.916486973645847,3.142350594974815,0,0,0,0.0,0.0
TEC22,LSTM_custom,bottom_up,hierarchical_reconciled,B4,12.087521998624727,21.700481831502366,4.19608844732434,0,0,0,0.0,0.0
TEC22,LSTM_custom,top_down,hierarchical_reconciled,B1,22.591258856323947,39.55930041932121,10.268030473461788,0,3,3,0.0,90.05732272372603
TEC22,LSTM_custom,top_down,hierarchical_reconciled,B2,5.474743189111537,26.22472790180406,2.7434968886185347,14,0,14,693.0943613810227,0.0
TEC22,LSTM_custom,top_down,hierarchical_reconciled,B3,53.38142454710709,76.0688527652413,24.86909800475785,149,0,149,2891.2735312890813,0.0
TEC22,LSTM_custom,top_down,hierarchical_reconciled,B4,88.77559730143973,122.81483246931587,36.618941497268395,0,138,138,0.0,15510.824927989663
TEC22,LSTM_custom,ols,hierarchical_reconciled,B1,4.902013923013249,9.604571777510309,10184142679.563192,41,136,177,35.16619873047488,284.6158813476364
TEC22,LSTM_custom,ols,hierarchical_reconciled,B2,2.131237287582151,4.679643603792585,14700380459.320187,108,176,284,128.94596252438865,332.64598388675773
TEC22,LSTM_custom,ols,hierarchical_reconciled,B3,7.307730775092075,12.209095981643422,8681982638.909187,24,106,130,33.17556152343607,239.43869323731096
TEC22,LSTM_custom,ols,hierarchical_reconciled,B4,12.262619487071426,21.848196452984293,629120654.806146,15,4,19,12.736514282226011,7.01787414550796
TEC22,LSTM_custom,wls,hierarchical_reconciled,B1,4.463290533311136,9.711362196925185,5083492885.563047,41,136,177,17.553477661140104,142.06819888421546
TEC22,LSTM_custom,wls,hierarchical_reconciled,B2,1.0273171805178727,4.218253104954737,3495557719.14234,108,176,284,30.661659122685805,79.09885324666072
TEC22,LSTM_custom,wls,hierarchical_reconciled,B3,6.5816088452380255,11.96783637325396,2592765543.602397,24,106,130,9.907466567527372,71.50537140249767
TEC22,LSTM_custom,wls,hierarchical_reconciled,B4,12.269573533558644,21.85361118717967,642988072.5801612,15,4,19,13.017259421260874,7.172565924517954
