plant_id,model_name,method,forecast_stage,MAE_station,RMSE_station,MAPE_station,MAE_units_mean,RMSE_units_mean,MAPE_units_mean,OCV_min_total,OCV_max_total,OCV_total,OCV_rate,OCV_min_severity_total,OCV_max_severity_total,HIC_count_total,HIC_rate,HIC_less_1_percent,HIC_1_5_percent,HIC_more_5_percent,HIC_mean_percent,HIC_median_percent,HIC_max_percent,RD_signed_percent,RD_abs_percent,RD_mean_abs_mw,RD_max_abs_mw,physical_success_rate,physical_runtime_mean_sec,physical_iterations_mean
TEC22,LSTM_custom,independent,raw,22.786419341648216,32.908997278773036,5.0484557891509585,5.779030632145234,13.499029574493997,2.4281991412331454,0,0,0,0.0,0.0,0.0,298,0.9490445859872612,118,161,19,1.7857838003883004,1.4479497555724503,8.528453737332827,0.0,0.0,0.0,0.0,,,
TEC22,LSTM_custom,bottom_up,hierarchical_reconciled,20.832889141818644,32.29580920122103,4.360052247180112,5.779030632145234,13.499029574493997,2.4281991412331454,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,-0.9626626283758744,1.7405538748393308,7.581464147871464,29.827789306640625,,,
TEC22,LSTM_custom,top_down,hierarchical_reconciled,22.786419341648216,32.908997278773036,5.0484557891509585,42.555755973495565,76.03063204833275,18.624891716026642,163,141,304,0.24203821656050956,3584.367892670104,15600.88225071339,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
TEC22,LSTM_custom,ols,hierarchical_reconciled,22.100491439660296,32.5294720362403,4.844120985688689,6.650900368189726,13.606547837576597,8548906608.149679,188,422,610,0.4856687898089172,210.0242370605256,863.7184326172129,263,0.8375796178343949,263,0,0,2.345079030961853e-14,1.912697615023655e-14,5.2163604032250865e-14,-0.18255963176595658,0.3406899726894526,1.516292829574232,5.965557861327909,,,
TEC22,LSTM_custom,wls,hierarchical_reconciled,21.115839835189917,32.15565463504504,4.522021983281463,6.08544752315642,13.536188942559983,2953701055.2219863,188,422,610,0.4856687898089172,71.13986277261415,299.8449894578918,122,0.3885350318471338,122,0,0,1.6722576091976e-14,1.6307545783333274e-14,2.851663315633341e-14,-0.551146264746273,1.0127414666450236,4.4615027381068115,17.552910766004516,,,
TEC22,LSTM_custom,mint,hierarchical_reconciled,20.816442164982536,32.23772299264913,4.3700991158340665,5.9664483553046805,13.531709194181712,1589780720.6247334,245,365,610,0.4856687898089172,29.170350183216787,170.5061080207219,135,0.4299363057324841,135,0,0,1.6946154572493232e-14,1.6103474805769547e-14,3.599577473597671e-14,-0.89713557884922,1.62613736257387,7.095827243433496,27.917145797342812,,,
TEC22,LSTM_mae,independent,raw,22.259694674508232,32.47998374328908,4858806999.96492,6.570321397134258,13.534992714975111,3501000042.851226,417,257,674,0.5366242038216561,169.57104791980237,270.15455713316624,314,1.0,87,188,39,5.985442813229589,1.9743030120549374,106.8068774449177,0.0,0.0,0.0,0.0,,,
TEC22,LSTM_mae,bottom_up,hierarchical_reconciled,20.97916140266274,31.61324326935501,687812682.7642564,6.570321397134258,13.534992714975111,3501000042.851226,417,257,674,0.5366242038216561,169.57104791980237,270.15455713316624,0,0.0,0,0,0,0.0,0.0,0.0,940.3156522912133,1040.385054082084,10.823407692315454,37.70033183693886,,,
TEC22,LSTM_mae,top_down,hierarchical_reconciled,22.259694674508232,32.47998374328908,4858806999.96492,42.87050536544155,76.56869588254507,1214701767.5144336,167,218,385,0.3065286624203822,3524.635856465972,16089.892024246836,2,0.006369426751592357,2,0,0,1.2641815591486779e-14,1.2641815591486779e-14,1.32661005093284e-14,0.0,0.0,0.0,0.0,,,
TEC22,LSTM_mae,ols,hierarchical_reconciled,21.655888034607827,31.87104406697269,4023402864.7860417,7.316754151463876,13.645132695331895,11945117162.717958,128,548,676,0.5382165605095541,90.48598559526005,1410.7573374137041,283,0.9012738853503185,283,0,0,2.215085549542689e-14,1.8876460499791763e-14,5.6077677017167085e-14,-1.3240323732039971,1.3568859698967852,2.1646815384629217,7.540066367387681,,,
TEC22,LSTM_mae,wls,hierarchical_reconciled,20.85081566951809,31.303797186813643,2427434299.411588,6.854713499840337,13.691588464940944,6024878042.573621,200,474,674,0.5366242038216561,81.16418927888625,675.5604925381742,226,0.7197452229299363,226,0,0,1.9746183535489817e-14,1.7877111411591792e-14,4.811947174120239e-14,-5.743419316852915,5.8386321183553465,6.300121553783668,21.94472202680953,,,
