plant_id,model_name,method,forecast_stage,unit_id,MAE,RMSE,MAPE,OCV_min,OCV_max,OCV_total,OCV_min_severity,OCV_max_severity
TEC14,Boosting,mint,hierarchical_reconciled,B2,5.95093523359094,8.978414967121305,1722485034.2828963,26,51,77,14.746972614843997,49.6964419736053
TEC14,MLP,independent,raw,B1,5.515006473747103,10.260607560601107,4.312050450984947,0,0,0,0.0,0.0
TEC14,MLP,independent,raw,B2,5.293714054829694,8.99341087261259,4.074102766101496,0,1,1,0.0,0.7744636480000082
TEC14,MLP,bottom_up,hierarchical_reconciled,B1,5.515006473747103,10.260607560601107,4.312050450984947,0,0,0,0.0,0.0
TEC14,MLP,bottom_up,hierarchical_reconciled,B2,5.293714054829694,8.99341087261259,4.074102766101496,0,1,1,0.0,0.7744636480000082
TEC14,MLP,top_down,hierarchical_reconciled,B1,7.028793283429062,12.992370291301901,5.69071994305534,0,11,11,0.0,194.31994461507497
TEC14,MLP,top_down,hierarchical_reconciled,B2,7.796957135398459,13.582879233291841,6.310697128503261,0,16,16,0.0,393.81386546787525
TEC14,MLP,ols,hierarchical_reconciled,B1,5.88572096750596,10.311949048312098,4417867879.035432,43,35,78,47.35649617513094,122.1255391438796
TEC14,MLP,ols,hierarchical_reconciled,B2,5.3684946912789115,8.519959585485294,2796141978.815304,0,77,77,0.0,104.20572408040762
TEC14,MLP,wls,hierarchical_reconciled,B1,5.885720967505957,10.3119490483121,4417867879.03542,43,35,78,47.35649617512948,122.12553914388069
TEC14,MLP,wls,hierarchical_reconciled,B2,5.368494691278907,8.51995958548529,2796141978.815252,0,77,77,0.0,104.20572408040567
TEC14,MLP,mint,hierarchical_reconciled,B1,5.789196598647505,10.263789630060026,3313405879.426514,43,35,78,35.51742528845136,91.59429183595896
TEC14,MLP,mint,hierarchical_reconciled,B2,5.32180668206917,8.598591371687306,2097109634.4280536,0,78,78,0.0,78.26711847642194
TEC14,RandomForest,independent,raw,B1,4.894162212714003,10.12335997016346,4.023496967297574,0,0,0,0.0,0.0
TEC14,RandomForest,independent,raw,B2,5.850545476899656,9.278319742232933,4.198151686831844,0,0,0,0.0,0.0
TEC14,RandomForest,bottom_up,hierarchical_reconciled,B1,4.894162212714003,10.12335997016346,4.023496967297574,0,0,0,0.0,0.0
TEC14,RandomForest,bottom_up,hierarchical_reconciled,B2,5.850545476899656,9.278319742232933,4.198151686831844,0,0,0,0.0,0.0
TEC14,RandomForest,top_down,hierarchical_reconciled,B1,6.536747943435887,13.481704347002752,5.566270361122433,0,11,11,0.0,309.62085475246374
TEC14,RandomForest,top_down,hierarchical_reconciled,B2,8.28756365071906,13.190970454003583,6.507847948219228,0,16,16,0.0,354.2502132933648
TEC14,RandomForest,ols,hierarchical_reconciled,B1,5.184101934530932,9.802411505629472,3989902405.5123,43,35,78,45.35954051444668,109.34922598888593
TEC14,RandomForest,ols,hierarchical_reconciled,B2,6.257712562968463,9.407173870994619,2832543033.3787274,20,57,77,26.279175690893773,79.2013353832513
TEC14,RandomForest,wls,hierarchical_reconciled,B1,5.184101934530928,9.80241150562947,3989902405.512292,43,35,78,45.35954051444532,109.3492259888871
TEC14,RandomForest,wls,hierarchical_reconciled,B2,6.25771256296847,9.407173870994631,2832543033.3786983,20,57,77,26.279175690894313,79.20133538324964
TEC14,RandomForest,mint,hierarchical_reconciled,B1,5.086496809728398,9.836998673489397,2992431293.107093,43,35,78,34.01970630375505,82.01204260226973
TEC14,RandomForest,mint,hierarchical_reconciled,B2,6.137361854306445,9.325957835048007,2124410464.4924428,20,57,77,19.709411295680063,59.401090744612866
TEC14,Boosting_custom_with_window,independent,raw,B1,4.772831164399361,9.595289530008296,3.712369339141592,0,0,0,0.0,0.0
TEC14,Boosting_custom_with_window,independent,raw,B2,5.981032259253034,9.850053980935773,4.438635418116041,0,0,0,0.0,0.0
TEC14,Boosting_custom_with_window,bottom_up,hierarchical_reconciled,B1,4.772831164399361,9.595289530008296,3.712369339141592,0,0,0,0.0,0.0
TEC14,Boosting_custom_with_window,bottom_up,hierarchical_reconciled,B2,5.981032259253034,9.850053980935773,4.438635418116041,0,0,0,0.0,0.0
TEC14,Boosting_custom_with_window,top_down,hierarchical_reconciled,B1,6.787032633552111,13.476418713907906,5.703746299921063,0,12,12,0.0,318.6244426771261
TEC14,Boosting_custom_with_window,top_down,hierarchical_reconciled,B2,7.53259731614079,12.496136556124323,6.049081127051486,0,16,16,0.0,326.50635015292704
TEC14,Boosting_custom_with_window,ols,hierarchical_reconciled,B1,4.787193122778818,9.276238499083535,4936884518.977896,26,52,78,41.525874223533556,142.78641978766166
TEC14,Boosting_custom_with_window,ols,hierarchical_reconciled,B2,5.8216757584387215,9.011512224546204,4495533124.536883,20,57,77,37.84184815571058,132.9338496530279
TEC14,Boosting_custom_with_window,wls,hierarchical_reconciled,B1,4.787193122778825,9.276238499083538,4936884518.977918,26,52,78,41.52587422353268,142.7864197876633
TEC14,Boosting_custom_with_window,wls,hierarchical_reconciled,B2,5.821675758438729,9.011512224546212,4495533124.536858,20,57,77,37.8418481557111,132.93384965302636
TEC14,Boosting_custom_with_window,mint,hierarchical_reconciled,B1,4.644621731009777,9.266995980101806,3702668945.5773273,26,52,78,31.14445231117926,107.08997560481558
TEC14,Boosting_custom_with_window,mint,hierarchical_reconciled,B2,5.811809483507647,9.13699966956417,3371654903.681899,20,57,77,28.381428651927617,99.70053689325351
TEC14,LSTM_custom_with_window,independent,raw,B1,5.279884550102739,10.215441802369885,4.1330827280480245,0,0,0,0.0,0.0
TEC14,LSTM_custom_with_window,independent,raw,B2,4.950883418299656,8.21595151574843,3.6821380105532797,0,0,0,0.0,0.0
TEC14,LSTM_custom_with_window,bottom_up,hierarchical_reconciled,B1,5.279884550102739,10.215441802369885,4.1330827280480245,0,0,0,0.0,0.0
