iter	MAE
0	0.2203600022
1	0.2120634035
2	0.2050552109
3	0.1985100853
4	0.1921744035
5	0.185939187
6	0.179820752
7	0.1747536252
8	0.1688975331
9	0.1627869677
10	0.1577699508
11	0.1531651281
12	0.1479095918
13	0.1440277846
14	0.1402412446
15	0.1364319897
16	0.1310499674
17	0.1279012316
18	0.1247269253
19	0.1206655139
20	0.1178927823
21	0.1148941525
22	0.1123399648
23	0.1096188332
24	0.1067739791
25	0.1043570745
26	0.1022217288
27	0.1002444042
28	0.0982645941
29	0.09638318841
30	0.09478568225
31	0.09183781894
32	0.08974319996
33	0.08836732042
34	0.08703834565
35	0.08580117498
36	0.08464213729
37	0.08354019431
38	0.08249084688
39	0.08031643582
40	0.07919086586
41	0.07699304859
42	0.07494717667
43	0.0730033229
44	0.07229438385
45	0.07055013183
46	0.06909302672
47	0.06749586994
48	0.06586714477
49	0.06438512378
50	0.06306416583
51	0.06173308558
52	0.06042855202
53	0.05932913396
54	0.05809169581
55	0.05701006588
56	0.05602941091
57	0.05517534962
58	0.05424017398
59	0.05339949993
60	0.05260974487
61	0.05187191399
62	0.05122784209
63	0.0505477433
64	0.04995146894
65	0.04930544346
66	0.04870160006
67	0.04813855539
68	0.04764575816
69	0.04714617871
70	0.04662972166
71	0.04614500878
72	0.0456900019
73	0.04527080777
74	0.04488603961
75	0.04447045233
76	0.04407182143
77	0.04373347553
78	0.04340514489
79	0.04305999227
80	0.04273794213
81	0.04244440514
82	0.04216122613
83	0.04186716169
84	0.04157239209
85	0.04128488008
86	0.04101552861
87	0.04076126868
88	0.04052000158
89	0.04026901546
90	0.04006479905
91	0.03985726534
92	0.03968133492
93	0.03950528794
94	0.03928789529
95	0.03910841203
96	0.03895334294
97	0.03878592141
98	0.03862562389
99	0.03846174826
100	0.0382806704
101	0.03814085863
102	0.03799596341
103	0.03789541392
104	0.03777627557
105	0.03766549878
106	0.03755095389
107	0.0374332422
108	0.03731745887
109	0.03720694434
110	0.03708461554
111	0.03699224088
112	0.03689695726
113	0.03681094386
114	0.03672732087
115	0.03666404653
116	0.03658947238
117	0.03653430747
118	0.03644218334
119	0.03636446798
120	0.03629058637
121	0.0362280457
122	0.03616918773
123	0.03611192123
124	0.03604218072
125	0.03597599059
126	0.03591868741
127	0.03588461463
128	0.03582490591
129	0.03577489387
130	0.03573970831
131	0.03569953003
132	0.03565606476
133	0.03561012597
134	0.03555973376
135	0.03549473762
136	0.03545716161
137	0.03542747181
138	0.03538869419
139	0.03535898502
140	0.03533020486
141	0.03528867735
142	0.03525734584
143	0.03523401741
144	0.03522228169
145	0.03519681691
146	0.03517052056
147	0.03514183333
148	0.03509893585
149	0.0350793479
150	0.0350449751
151	0.03502027637
152	0.03499106507
153	0.03496368636
154	0.03493912399
155	0.03491542223
156	0.03490132885
157	0.03488570854
158	0.03486739082
159	0.03485572232
160	0.03484431361
161	0.0348306127
162	0.03480929812
163	0.03477928855
164	0.03476838723
165	0.03475386158
166	0.03472126459
167	0.03470497167
168	0.03468301196
169	0.03465943538
170	0.03463387504
171	0.03460686429
172	0.03458769163
173	0.0345692929
174	0.03455187062
175	0.03453516526
176	0.03452223472
177	0.03451689997
178	0.03451074898
179	0.03450749212
180	0.0344930533
181	0.03448547747
182	0.03447258435
183	0.03446587731
184	0.03445989598
185	0.03443881786
186	0.03442710461
187	0.03440168052
188	0.03438479022
189	0.03434535806
190	0.03433154662
191	0.03430793459
192	0.03429633985
193	0.03427494804
194	0.03426417851
195	0.03424678959
196	0.0342425555
197	0.03422673593
198	0.03421905745
199	0.03419125144
200	0.03417898339
201	0.03415813373
202	0.0341540644
203	0.03414718428
204	0.0341427966
205	0.03413132466
206	0.03412506844
207	0.03411929958
208	0.03411387172
209	0.03411086357
210	0.03409375876
211	0.03408057273
212	0.03407156433
213	0.03405354272
214	0.03402217871
215	0.03401906208
216	0.03399840308
217	0.03399204241
218	0.03398865089
219	0.03398541331
220	0.03397833958
221	0.03397120117
222	0.0339683709
223	0.03395631459
224	0.03394976999
225	0.0339408954
226	0.03393390246
227	0.03392404191
